www.thebabyfold.org	12.1.208.54
www.markalvisi.com	12.150.207.99
www.guitartabbooks.com	12.150.60.19
www.metmuseum.org	12.151.120.44
www.stonehill.edu	12.151.130.125
www.ahh.com	12.151.131.135
rodeohouston.com	12.151.167.132
www.baptistmedical.org	12.151.198.166
www.nvrun.com	12.151.22.22
www.ipindex.com	12.151.51.5
www.pawc.com	12.151.6.241
media.monsoon5.com	12.151.65.14
delivery.monsoon5.com	12.151.65.27
beta.golfballs.com	12.152.107.94
www.golfballs.com	12.152.107.95
www.belleayre.com	12.152.144.13
www.decideyourlifestyle.com	12.152.164.205
greatestfinancialfreedom.com	12.152.164.209
www.thinishappiness.com	12.152.164.220
www.thomasregional.com	12.152.165.97
www.melaleuca.com	12.152.168.160
www.iir.org	12.152.168.42
www.lendingtree.com	12.152.18.30
images.lendingtree.com	12.152.18.31
rc.lendingtree.com	12.152.18.38
www.gaylordhotels.com	12.153.11.210
www.opry.com	12.153.11.235
www.songs.com	12.153.11.247
www.servpro.com	12.153.18.170
www.etrade.com	12.153.224.22
clearstation.etrade.com	12.153.224.42
uk.etrade.com	12.153.224.57
www.optionslink.com	12.153.224.77
chid.nih.gov	12.153.38.68
www.nei.nih.gov	12.153.38.72
conexpoconagg.com	12.153.50.152
www.ifpe.com	12.153.50.163
www.expocard.com	12.153.50.64
ww7.expocard.com	12.153.50.70
www.mediabypass.com	12.154.123.79
ccrsys.getdors.com	12.154.182.35
www.ados.com	12.154.208.50
www.regalequip.com	12.154.209.57
www.uncfsp.org	12.154.67.36
www.allophone.net	12.154.7.35
www.shrm.org	12.154.95.5
www.parts123.com	12.154.96.67
www.roddoors.com	12.154.96.68
www.njpac.org	12.155.116.196
www.control.com	12.155.116.200
www.flashlink.com	12.155.116.25
www.hamiltonbeach.com	12.155.116.45
www.linuxboxen.com	12.155.116.53
mail.python.org	12.155.117.29
www.jdpower.com	12.155.133.12
www.zipzoomfly.com	12.155.170.10
unitymail.pacsun.com	12.155.228.53
images.pacsun.com	12.155.228.83
shop.pacsun.com	12.155.228.89
pacsun.com	12.155.228.90
newport.com	12.155.237.15
www.primechoice.com	12.156.0.231
www.mcmurrayhatchery.com	12.156.0.69
www.eqr1.com	12.156.0.78
www.bkspan.com	12.156.0.86
www.memoware.com	12.156.2.196
www.handmark.com	12.156.2.199
www.bconnectalumni.binghamton.edu	12.156.3.121
athome.harvard.edu	12.156.3.91
www.123india.com	12.156.5.65
www.eidgreetings.com	12.156.5.70
img.123india.com	12.156.5.78
image.mcmurrayhatchery.com	12.156.7.228
www.kc.frb.org	12.158.129.134
christianitytoday.com	12.158.13.133
kedesh.christianitytoday.com	12.158.13.146
hebron.christianitytoday.com	12.158.13.147
www.pamperedchef.com	12.158.13.203
dealerease.net	12.158.136.50
www.plattformecycle.com	12.158.137.101
www.search4healthcare-training.com	12.158.137.102
www.search4careercolleges.com	12.158.137.107
www.search4clicks.com	12.158.137.108
www.ultimateskiguide.com	12.158.172.142
www.aidant.net	12.158.188.247
www.randomall.com	12.158.190.171
www.asiamaya.com	12.158.190.212
jsvt.justsnooping.com	12.158.191.110
datesguide.com	12.158.191.151
yupggiklub.com	12.158.191.193
www.updated.com	12.158.191.26
www.updated.com	12.158.191.27
chat.startua.com	12.158.191.34
ads1.updated.com	12.158.191.35
content.kontiki.com	12.158.33.16
look20.kontiki.com	12.158.33.46
user-1.postini.com	12.158.34.252
login.postini.com	12.158.35.62
www.cardsdirect.com	12.158.64.100
www.ldsliving.com	12.158.64.90
www.chick.com	12.158.68.66
crl.thawte.com	12.158.80.10
www.bettyx.com	12.159.48.103
www.kevincandon.com	12.159.48.105
www.motivationmusic.com	12.159.48.108
www.divalounge.com	12.159.48.110
www.wildbullsteakhouse.com	12.159.48.112
www.punisher-movie.com	12.159.48.113
www.chemistrycoach.com	12.159.48.151
www.hostinglogin.com	12.159.48.5
www.cville.com	12.159.59.46
www.boulderblast.com	12.159.69.128
www.americawestarena.com	12.159.69.152
os.cmc-network.com	12.159.77.14
ecu3.msh.org	12.16.126.98
mail.msta.org	12.160.156.2
www.icims.com	12.160.177.35
www.oscarmeyer.com	12.160.216.63
ebay.www.vu	12.160.216.65
forums.mcafeehelp.com	12.160.33.177
www.rkysc.com	12.160.73.104
quotes.prolix.nu	12.161.105.146
www.fum.org	12.161.105.170
mycampus.aiu-online.com	12.161.140.49
info.aiuonline.edu	12.161.140.50
mail.student.aiuonline.edu	12.161.140.51
mailbag.aiuonline.edu	12.161.140.56
info.ctuonline.edu	12.161.140.90
www.forex.com	12.161.223.40
www.forex.com	12.161.223.45
www.contingencyplanning.com	12.161.238.8
www.vignette.com	12.161.72.22
berkeleycollege.edu	12.162.105.14
www.martinmoskovitz.com	12.162.162.149
www.taigtools.com	12.162.166.50
www.kamasutra.com	12.162.17.36
www.gpcatalog.com	12.162.208.40
www.meritcare.com	12.162.213.7
www.pressganey.org	12.162.41.150
www.geindustrial.com	12.162.61.66
www.webadvantage.net	12.162.67.182
www.sailtrilogy.com	12.162.68.42
www.gilpinironworks.com	12.162.70.109
www.dap.com	12.162.79.19
our.tentativetimes.net	12.162.84.2
ethics.acusd.edu	12.163.132.7
www.construction.com	12.163.148.149
www.businessweek.com	12.163.148.191
images.businessweek.com	12.163.148.200
www.bench.com	12.163.175.9
www.nycfarmboy.com	12.163.38.197
www.interactivebusiness.com	12.164.136.139
www.spirit.com	12.164.197.227
plus.xdrive.com	12.164.247.15
www.xdrive.com	12.164.247.79
www.chickensoup.com	12.164.250.138
www.ushistory.org	12.164.81.10
www.smsnoveltiques.com	12.164.81.184
www.yamaharobotics.com	12.164.82.111
www.armstrongflag.com	12.164.83.15
lists.christianitytoday.com	12.165.131.18
www.austinsportsgear.com	12.165.162.208
images.nancies.org	12.165.24.17
qa.php.net	12.165.50.194
www.itssimple.biz	12.165.52.180
www.twelvehorses.com	12.165.53.102
www.blueriver.net	12.166.16.9
www.thevgames.com	12.166.196.88
www.andersonspecialevents.com	12.166.228.219
www.gwinnettdailyonline.com	12.166.228.50
www.diamondmm.com	12.167.112.4
www.bmwbobs.com	12.167.128.100
www.hooah4health.com	12.167.128.235
www.worstoftheweb.com	12.167.82.155
connection.christina-aguilera.net	12.167.82.177
www.nodoubtonline.com	12.167.82.179
www.macromusic.com	12.167.82.190
www.musicfanclubs.org	12.167.82.191
www.orvis.com	12.168.118.130
www.orvis.co.uk	12.168.118.135
www.carilion.com	12.168.121.14
www.fpbank.com	12.168.17.60
listmgr.advanstar.com	12.168.192.168
www2.cancer.org	12.168.24.250
www.aitchison.edu.pk	12.168.32.108
airfagev.com	12.168.32.116
www.abnresorts.com	12.168.32.154
www.mtnonline.com	12.168.32.226
www.tcenterhobby.com.ar	12.168.32.24
www.indobase.com	12.168.32.84
www.buysoftware.org	12.168.32.90
happysurfer.com	12.168.32.93
trubka.com.ua	12.168.33.12
www.westvirginia.net	12.169.116.8
ucaw.pghsonicweb.com	12.169.127.110
www.wbgn.com	12.169.127.115
www.compass-usa.com	12.169.193.21
www.cgnad.com	12.169.193.38
www.kycigarettes.com	12.169.225.163
www.biophysics.org	12.17.12.75
www.fromnaturewithlove.com	12.17.163.129
www.apollo.com	12.17.202.20
www.galileo.com	12.17.202.21
www.travelgalileo.com	12.17.202.69
www.kellyfinance.com	12.17.203.39
www.dot.state.ia.us	12.17.207.200
www.independentsector.org	12.17.21.35
www.golfcard.com	12.17.249.35
www.rv.net	12.17.249.39
www.shol.com	12.17.3.7
www.bedroombrain.com	12.17.64.251
www.law.com	12.170.132.211
www.c-span.org	12.170.145.161
www.americanwriters.org	12.170.145.168
wsf.carfax.com	12.170.201.6
www.carfaxonline.com	12.170.201.7
www.slumpy.net	12.170.65.145
www.talbots.com	12.171.194.51
badattitudes.com	12.171.208.105
www.christiansinglesdating.com	12.171.36.2
www.foxriverfoods.com	12.172.141.101
www.intercot.com	12.173.48.196
www.mdo.org	12.174.245.99
www.steppenwolf.com	12.176.97.206
www.worldsavings.com	12.177.16.11
www.colorfulimages.com	12.178.160.142
www.freewebsitehosting.net	12.178.161.205
www.scala.com	12.178.193.242
www.omegafind.com	12.178.196.124
www.nailsupplies.com	12.178.196.190
www.healthworldmuseum.org	12.178.196.192
www.claudiaporter.com	12.178.196.208
www.tve.org	12.178.196.213
www.mohegansun.com	12.178.67.80
www.latticesemi.com	12.18.157.202
www.satorisoftware.com	12.18.185.7
exclusives.nba.com	12.18.6.135
store.collegeboard.com	12.18.76.228
www.igo.com	12.18.76.46
www.cookeville.com	12.180.246.13
www.tnproperties.com	12.180.246.19
weather.uppercumberland.com	12.180.246.3
www.crossville-chamber.com	12.180.246.7
www.chfweb.com	12.181.0.78
www.aqhamembers.org	12.19.120.247
www.aqha.com	12.19.120.249
www.hotel.com	12.19.68.31
hoteldiscounts.com	12.19.68.7
180096hotel.com	12.19.68.8
www.ritehite.com	12.2.10.33
www.bradydatacomm.com	12.2.11.164
www.bframed.com	12.2.110.80
www.shindigz.com	12.2.157.90
www.stumpsprom.com	12.2.157.92
www.birthdayzbyshindigz.com	12.2.157.99
www.nationjob.com	12.2.169.104
rmcil.edu	12.2.169.230
www.isrsurveys.com	12.2.21.70
www.jtusa.com	12.2.23.23
ts.rtvpix.com	12.2.86.231
tms.ecol.net	12.2.97.31
www.mercycollege.edu	12.20.110.25
buy1.snapon.com	12.20.116.37
www.advantagevalleyguide.com	12.20.124.16
webmail.rosenbluth.com	12.20.162.99
www.4woman.gov	12.20.225.1
www.chubb.com	12.20.44.195
images.vwrsp.com	12.20.55.105
www.vwrsp.com	12.20.55.51
www.vwr.com	12.20.55.76
vpn.shmoo.com	12.21.210.234
www.medorand.com	12.21.70.200
12.218.214.104:4020	12.218.214.104
cajun.dnsalias.com	12.219.243.180
www.sagepub.com	12.22.103.13
www.mastercardintl.com	12.22.155.128
mastercard.com	12.22.155.129
www.mastercard.com	12.22.155.96
www.orientaltrading.com	12.22.178.102
holdrege.org	12.22.179.197
12.22.230.41	12.22.230.41
www.ashp.org	12.22.236.67
www.realestatelicense.com	12.22.65.7
www.contractorlicense.com	12.22.65.75
12.220.246.6	12.220.246.6
www.pct.edu	12.23.198.27
nweb.pct.edu	12.23.198.90
www.emusicgear.com	12.23.29.178
www.faculty.fairfield.edu	12.23.55.214
stagweb.fairfield.edu	12.23.55.246
www.bestbilliard.com	12.23.64.195
www.paradise.com	12.23.70.212
abc.eznettools.net	12.23.70.217
www2.standardandpoors.com	12.24.113.114
www.standardandpoors.com	12.24.113.25
www.bluelist.com	12.24.113.36
www.wineloverspage.com	12.24.138.193
www.wirelessethernet.org	12.24.139.150
www.aepi.org	12.24.232.99
www.bevmo.com	12.24.44.220
www.wamuhome.com	12.24.85.110
www.previsionmarketing.com	12.25.19.19
support.openwave.com	12.25.201.14
www.openwave.com	12.25.201.26
partners.futuresource.com	12.25.236.93
www.sexnuts.com	12.25.237.63
www.integratia.com	12.25.239.120
www.searsportrait.com	12.25.239.131
www.jacobsen.com	12.25.38.33
www.isainc.com	12.26.12.67
www.jmwanes.com	12.26.167.98
www.teamsierra.net	12.26.213.207
www.friendsandthings.com	12.26.215.211
www.dubuquebank.com	12.26.242.143
www.rwjf.org	12.26.46.21
central.glenrocknj.org	12.26.6.17
www50.nortelnetworks.com	12.26.62.235
carmax.com	12.26.69.60
www.fnanb.com	12.26.69.70
www.nvrinc.com	12.26.74.71
