007girls.net 207.246.144.201
40-net-64.corp.sykes.com 209.80.64.40
401kadministration.com 209.219.128.59
401kcenter.com 208.234.12.117
404.janey.com 209.115.120.240
404.miesto.sk 195.168.11.38
4050whores.bare-naked.nu 208.178.185.72
40plus.sexhound.net 216.32.23.102
411.com 204.247.247.32
4allfree.com 209.249.147.99
4antiques.4anything.com 207.19.97.93
4at1.net 209.0.254.151
4dw.com 216.167.64.157
4kids.org 129.237.247.171
4playmail.com 209.118.190.16
4teens.com 216.64.2.72
4x4la.com 207.217.96.10
4x4la.com 207.217.96.11
4x4la.com 207.217.96.12
4x4la.com 207.217.96.13
4x4la.com 207.217.96.14
4x4la.com 207.217.96.28
4x4la.com 207.217.96.29
4x4la.com 207.217.96.3
4x4la.com 207.217.96.30
4x4la.com 207.217.96.31
4x4la.com 207.217.96.32
4x4la.com 207.217.96.33
4x4la.com 207.217.96.4
4x4la.com 207.217.96.5
4x4la.com 207.217.96.6
4x4la.com 207.217.96.7
4x4la.com 207.217.96.8
4x4la.com 207.217.96.9
500kb.longmovies.com 216.65.106.242
5h4r3d.homepage.com 63.236.7.3
5xxx5.com 63.171.159.133
613.tokensystems.com 64.13.109.234
63-216-193-60.sdsl.cais.net 63.216.193.60
63-92-61-021.r1d.servercentral.net 63.92.61.21
666love.com 209.25.139.155
69.adult.directnic.com 208.178.185.81
69freeporn.com 209.25.155.156
69sex.org 209.118.191.102
69top.com 209.25.173.225
6host.com 216.247.239.149
6teens.fsn.net 204.246.215.36
777-casino.com 216.205.87.228
7am.com 209.75.5.250
7search.com 206.215.159.240
80.cyberhost.net 192.41.11.174
800go.com 216.102.246.21
84-45.cnet.com 204.162.84.45
840.gurulabs.com 209.140.72.23
949.com 63.164.33.49
949zht.entertainmentcentral.com 216.126.197.213
ATHM-209-218-xxx-36.Home.net 209.218.236.36
Big.hotyellow98.com 209.5.34.194
BoogieDown.com 207.155.7.58
HOSTED-BY.widexs.nl 212.204.221.201
NHRA-RS-004539.rwc.cerf.net 216.148.236.22
NHRA-VIP-004539.rwc.cerf.net 216.148.236.25
P25.CABLENET.QZN.SKYINET.NET 202.78.86.25
ROSETTA-STONE.com 208.240.253.23
Web2.photoloft.com 209.249.193.223
a.gohip.com 63.209.79.81
a.postmypic.com 63.237.42.23
a.r.tv.com 216.200.14.101
a.r.tv.com 216.200.14.114
a.tinybikini.com 204.246.215.196
a1.crain.com 63.236.108.6
a1.ecards.com 216.94.197.151
a1.ecards.com 216.94.197.152
a1.ecards.com 216.94.197.159
a1.ecards.com 216.94.197.243
a1.ecards.com 216.94.197.244
a1.g.a.yimg.com 216.200.14.113
a100.g.akamaitech.net 216.200.14.100
a100.g.akamaitech.net 216.200.14.116
a1004.g.ak.playboy.com 216.200.14.115
a1356.g.ak.snap.com 204.178.110.79
a1356.g.ak.snap.com 204.178.123.200
a1601.m.akastream.net 216.148.101.3
a1601.m.akastream.net 216.148.101.5
a167.otginc.com 207.208.37.167
a204-178-118-70.deploy.akamaitechnologies.com 204.178.118.70
a216-32-60-141.deploy.akamaitechnologies.com 216.32.60.141
a216-52-232-134.deploy.akamaitechnologies.com 216.52.232.134
a3.suntimes.com 12.36.78.3
a556.g.ak.snap.com 204.178.110.80
aa.aadserv.com 208.49.160.126
aa.doubleclick.net 63.85.84.140
aa11.cjb.net 161.53.8.17
aaf.simplenet.com 209.132.5.136
aalayna.com 208.185.170.17
aanr.com 199.120.114.80
abacus.sj.ipixmedia.com 64.209.175.120
abby.adult11.com 167.160.128.199
abc.com 204.202.136.32
abc.go.com 204.202.128.229
abc.go.com 204.202.137.200
abcdistributing.com 208.221.241.77
abcjewelry.net 216.121.176.4
abcnews.go.com 204.202.136.230
abcsports.go.com 208.178.139.75
abettertan.com 216.71.61.252
abidingwomen.com 216.231.106.111
ablake.net 209.204.204.77
abmall.com 208.234.17.173
abode.vectorstar.com 198.252.52.138
abone.superonline.com 212.252.117.52
about.bricsnet.nl 193.74.123.4
about.delphi.com 199.93.4.100
about.onhealth.com 209.67.69.173
aboutmaie-mouf.com 216.144.196.10
absolutebikini.tripod.com 209.67.19.99
absolutepokemon.hypermart.net 206.253.222.85
abv-bc10.myplay.com 208.184.87.79
abv-bc2.myplay.com 208.184.87.71
abv-bc7.myplay.com 208.184.87.76
abyss.nationalgeographic.com 207.24.89.200
ac.all-my-porn.com 216.10.14.204
ac.prospero.com 199.93.4.211
ac2.yahoo.com 204.71.200.232
acad.fandm.edu 155.68.1.64
acca.nmsu.edu 128.123.3.58
accakes.com 64.39.15.181
accel1.activeagent.at 195.34.132.35
access.adobe.com 192.150.13.144
access.ccbill.com 64.38.192.133
access.ccbill.com 64.38.192.134
access.ifriends.net 204.180.135.100
access.ifriends.net 204.180.135.99
accessatlanta.com 206.251.18.52
accipiter.townonline.com 128.11.41.231
accounts.rootsweb.com 63.92.80.118
accustream.com 209.50.251.31
ace.ace.orst.edu 128.193.97.131
ace.chipshot.com 208.49.126.136
acec.telebuild.com 198.67.14.20
acedoran.com 166.82.18.113
acewallpapers.com 211.36.253.43
acgi0.abc.go.com 204.202.137.164
acidcrew.hypermart.net 206.253.222.71
acidpope.com 207.106.37.250
acm.cs.byu.edu 128.187.2.103
acm.cs.virginia.edu 128.143.136.35
acreage.com 206.65.55.11
act.org 151.148.248.30
active-x.real.com 205.158.7.51
active.macromedia.com 216.35.148.100
activelynx.com 209.236.44.142
activemarketplace.com 64.85.76.2
activequote100.fidelity.com 192.223.255.44
activeupdate.trendmicro.com 216.33.22.218
activewin.com 205.178.180.125
activex.microsoft.com 207.46.133.14
activex.microsoft.com 207.46.134.64
acw.activate.net 64.85.66.6
ad.090.net 216.200.138.84
ad.activeadv.net 212.48.4.84
ad.adult-worlds.com 209.25.162.136
ad.adultcheck.com 209.76.160.105
ad.arena.ne.jp 210.150.23.89
ad.arena.ne.jp 210.150.23.90
ad.au.doubleclick.net 203.147.254.136
ad.banner.nic.cc 209.237.73.107
ad.banner.nic.cc 209.237.73.108
ad.banneradnetwork.com 209.82.11.8
ad.bannerexchange.com 206.132.75.119
ad.bannerpoint.ru 212.24.40.26
ad.bb.ru 212.24.40.40
ad.brainbuzz.com 208.178.167.125
ad.buy.com 209.67.181.20
ad.ca.doubleclick.net 205.138.3.182
ad.clok.creative.com 216.61.164.50
ad.clok.creative.com 216.61.164.70
ad.contentzone.com 208.178.148.50
ad.de.doubleclick.net 212.172.60.39
ad.delivere.com 209.38.156.8
ad.erektor.ru 212.24.40.22
ad.es.doubleclick.net 213.86.246.40
ad.fr.doubleclick.net 195.154.216.201
ad.freefind.com 205.179.93.3
ad.harmony-central.com 209.249.154.166
ad.industryclick.net 216.33.81.88
ad.ir.ru 212.24.40.24
ad.law10.hotmail.com 64.4.14.23
ad.law3.hotmail.com 209.185.242.250
ad.law7.hotmail.com 216.33.236.23
ad.law8.hotmail.com 216.33.240.23
ad.linkexchange.com 204.71.191.203
ad.linksynergy.com 206.41.24.70
ad.linksynergy.com 206.41.24.71
ad.linksynergy.com 206.41.24.73
ad.linksynergy.com 206.41.24.77
ad.linksynergy.com 206.41.24.79
ad.linksynergy.com 206.41.24.80
ad.linksynergy.com 206.41.24.81
ad.linksynergy.com 206.41.24.82
ad.linksynergy.com 206.41.24.84
ad.linksynergy.com 209.67.5.206
ad.linksynergy.com 216.35.71.102
ad.linksynergy.com 216.35.71.105
ad.linksynergy.com 216.35.71.106
ad.linksynergy.com 216.35.71.107
ad.linksynergy.com 216.35.71.113
ad.linksynergy.com 216.35.71.116
ad.linksynergy.com 216.35.71.78
ad.linksynergy.com 216.35.71.79
ad.linksynergy.com 64.209.192.102
ad.lolitasmail.com 209.25.173.135
ad.musicmatch.com 63.236.2.10
ad.my.doubleclick.net 202.160.253.42
ad.pav1.hotmail.com 64.4.30.23
ad.pbs.bb.ru 212.24.40.20
ad.preferences.com 199.172.144.24
ad.rename.net 195.141.34.36
ad.se.doubleclick.net 194.237.107.43
ad.seitensprung-service.de 213.68.118.210
ad.sexadnet.com 207.246.138.12
ad.sexcount.de 62.153.59.114
ad.smartredirect.com 216.87.215.15
ad.subnet.dk 129.142.226.11
ad.travelzoo.com 64.56.194.86
ad.usatoday.com 167.8.29.17
ad.video-post.com 63.209.26.86
ad.webprovider.com 216.205.138.126
ad.z.com 63.251.211.32
ad03e6i.myway.com 208.222.102.229
ad05-sf.sportsline.com 206.79.229.47
ad07-sf.sportsline.com 206.79.229.49
ad1.aaddzz.com 157.151.95.209
ad1.cps.pl 195.116.244.8
ad1.denverpost.com 205.170.128.140
ad1.dialpad.com 64.41.129.20
ad1.formula1.com 64.39.15.17
ad1.gamezone.com 216.15.211.80
ad1.interliantmedia.com 216.205.134.165
ad1.pamedia.com.au 203.89.229.53
ad1.streamexchange.com 63.251.202.2
ad2.dialpad.com 64.41.129.21
ad2.doubleclick.net 208.184.29.70
ad2.linx.cz 194.149.103.102
ad2.rename.net 195.141.34.37
ad4.showmesd.com 209.242.137.156
ad6.sonata.com 208.184.33.243
adam.cheshire.net 208.153.58.2
adamcurry.editthispage.com 64.14.1.91
adcenter.in2.com 205.231.210.131
adcenter.in2.com 206.25.90.72
adcenter.scripps.com 209.215.174.38
adclient.audiohighway.com 209.185.245.60
adclient.massmerchandise.com 216.34.28.146
adclient0.losangeles0.tmcs.net 209.104.34.19
adclient1.losangeles0.tmcs.net 209.104.34.17
adclient2.losangeles0.tmcs.net 209.104.34.28
adclix2.com 192.41.63.89
adcodes.bla-bla.com 209.73.200.200
adcontent.cahners.net 209.67.253.154
adcontent.gamespy.com 207.199.1.120
adcontroller.unicast.com 128.11.20.30
adcreatives.imaginemedia.com 209.246.21.47
adcreatives.web.aol.com 205.188.146.110
adcritic.com 206.161.122.200
adcritics.com 209.67.50.203
adcycle.everyone.net 216.200.145.58
add-url.altavista.com 128.177.243.67
add.yahoo.com 204.71.202.230
address.clubs.yahoo.com 128.11.69.23
adengine.theglobe.com 199.105.102.191
adevents.msn.com 207.46.188.247
adfarm.mediaplex.com 63.209.29.151
adforce.ads.imgis.com 216.111.248.10
adifferentstyle.safeshopper.com 216.34.72.161
adimage.blm.net 206.170.14.54
adimages.earthweb.com 209.10.73.172
adimages.go.com 204.202.130.240
adimg.activeadv.net 212.48.4.87
adimg.egroups.com 207.138.41.180
adimg.voila.fr 195.101.94.105
adimpress.entrypoint.com 205.228.184.70
adincl.go2net.com 206.253.217.47
adlog.profero.com 213.129.65.18
adm5.byu.edu 128.187.22.167
admedia.xoom.com 206.132.179.16
admin.developersnetwork.com 216.110.36.129
admin.epagos.com 208.30.36.11
admin.nebonet.com 192.41.79.141
admin.nwrks.net 209.12.212.8
admin.yahoo.com 204.71.201.222
admiral.doa.state.nc.us 149.168.213.11
adobe.shutterfly.com 63.209.10.38
adopt.org 63.238.166.249
adp1.cbdr.com 209.143.197.4
adp4.cbdr.com 209.143.197.64
adp5.cbdr.com 209.143.197.144
adpages.com 151.196.221.51
adpick.switchboard.com 209.67.227.26
adpop.theglobe.com 199.105.102.40
adpro.cashporn.com 208.36.79.148
adpush.dreamscape.com 207.198.12.4
adr.astraweb.com 209.133.78.251
adrastea.galaxy.com 63.236.5.11
adremote.pathfinder.com 204.71.242.76
adrianas.de 209.163.232.113
adrunner.mycomputer.com 208.178.109.50
ads-08.tor3.focusin.ads.targetnet.com 209.167.51.236
ads-a.focalink.com 64.41.202.21
ads-animal.focalink.com 216.52.13.39
ads-d.focalink.com 209.249.226.123
ads-e.focalink.com 64.41.202.71
ads-f.focalink.com 209.249.226.115
ads-h.focalink.com 216.35.153.149
ads-i.focalink.com 216.35.153.170
ads-ussc.focalink.com 216.52.13.23
ads-ussj1.focalink.com 209.249.226.23
ads-ussnv.focalink.com 64.41.202.90
ads-ussnv2.focalink.com 209.249.226.74
ads.080.com.tw 209.239.56.122
ads.1for1.com 64.26.149.200
ads.365.co.uk 212.2.25.151
ads.aceweb.net 216.52.245.20
ads.actioni.net 216.161.14.67
ads.actioninteractive.com 12.34.75.87
ads.ad-up.com 216.74.57.38
ads.adace.com 63.236.41.38
ads.adace.com 63.236.41.40
ads.adflight.com 216.136.146.20
ads.adictive.com 146.101.244.122
ads.admonitor.net 216.35.185.150
ads.ah-ha.com 208.186.202.9
ads.amazingmedia.com 208.51.95.83
ads.athena2000.it 194.140.224.242
ads.athena2000.it 194.140.224.243
ads.autotrader.com 198.5.130.197
ads.babeclicks.com 209.50.251.222
ads.bankrate.com 208.16.210.30
ads.bannersource.com 209.210.221.69
ads.belointeractive.com 147.136.250.100
ads.bepaid.com 64.58.95.140
ads.bfast.com 216.33.46.174
ads.bianca.com 206.15.20.200
ads.bla-bla.com 209.73.200.50
ads.bloomberg.com 204.179.240.43
ads.bluemountain.com 209.187.174.103
ads.bomis.com 209.66.79.110
ads.boston.com 140.239.226.200
ads.burstnet.com 128.11.42.61
ads.cahners.net 209.67.241.27
ads.cbc.ca 159.33.1.57
ads.cc-dt.com 216.33.67.103
ads.chickclick.com 216.35.123.100
ads.chilton.net 204.243.31.59
ads.cimedia.com 204.71.180.6
ads.classifiedventures.com 216.33.88.29
ads.clearbluemedia.com 63.77.183.99
ads.clearchannel.com 216.68.77.11
ads.clickagents.com 208.48.126.11
ads.clickhouse.com 64.16.2.186
ads.clickhouse.com 64.16.2.187
ads.clickthru.net 207.235.5.162
ads.cnbc.com 64.14.56.76
ads.cndb.com 216.218.254.204
ads.coolemail.com 207.17.53.152
ads.crosswinds.net 204.50.152.142
ads.csi.com 209.64.62.101
ads.currantbun.com 212.187.214.92
ads.cybergold.com 207.126.114.71
ads.dai.net 216.200.200.227
ads.danni.com 208.184.157.18
ads.datais.com 207.245.246.10
ads.datais.com 207.245.246.12
ads.datais.com 207.245.246.13
ads.datais.com 207.245.246.8
ads.datais.com 207.245.246.9
ads.datais.com 208.185.90.205
ads.datais.com 208.185.90.206
ads.datais.com 208.185.90.213
ads.datais.com 208.185.90.214
ads.datais.com 209.167.51.235
ads.datais.com 209.167.51.239
ads.datais.com 209.167.51.240
ads.datais.com 209.167.51.241
ads.datais.com 209.167.51.242
ads.dealnetwork.com 216.200.200.235
ads.dealnews.com 209.95.70.179
ads.devx.com 209.1.14.24
ads.discovery.com 216.35.209.156
ads.drkoop.com 216.34.166.144
ads.dvdreview.com 216.218.169.43
ads.ecircles.com 208.185.130.157
ads.eclassics.com 209.250.4.59
ads.elmercurio.cl 200.12.17.9
ads.engageaudiencenet.com 207.252.85.24
ads.enliven.com 207.87.5.140
ads.entertaindom.com 204.140.15.165
ads.entertaindom.com 204.140.15.50
ads.entertaindom.com 204.140.15.51
ads.erotism.com 216.6.3.101
ads.eu.msn.com 207.46.16.221
ads.eu.msn.com 207.46.28.17
ads.euniverseads.com 216.240.130.25
ads.express.co.uk 194.72.154.69
ads.fairfax.com.au 203.26.51.180
ads.fandom.com 216.35.178.158
ads.fansonly.com 209.67.134.31
ads.fool.com 208.51.76.109
ads.formula1.com 216.167.76.100
ads.formula1.com 216.167.76.102
ads.formula1.com 216.167.76.104
ads.formula1.com 216.167.76.106
ads.formula1.com 216.167.93.56
ads.formula1.com 216.167.93.58
ads.formula1.com 216.167.93.60
ads.formula1.com 216.167.93.62
ads.formula1.com 216.167.93.72
ads.fp.sandpiper.net 63.238.51.131
ads.freshmeat.net 209.207.224.218
ads.ft.com 167.216.227.182
ads.gamespy.com 207.199.1.96
ads.geocomm.com 204.49.166.11
ads.giantstep.com 208.193.67.201
ads.golfonline.com 192.225.33.10
ads.guardianunlimited.co.uk 195.153.200.138
ads.hardwarestreet.com 209.133.56.195
ads.healthgate.com 209.67.246.21
ads.hecklers.org 207.79.229.59
ads.homearts.com 216.33.32.233
ads.humornetwork.com 206.132.30.71
ads.i33.com 208.51.205.92
ads.icq.com 152.163.180.25
ads.icq.com 152.163.180.57
ads.icq.com 205.188.140.185
ads.icq.com 205.188.140.249
ads.igl.net 209.67.163.106
ads.ino.com 216.33.119.45
ads.intelihealth.com 216.200.104.10
ads.iwon.com 209.10.180.17
ads.jp.msn.com 207.46.80.154
ads.jp.msn.com 207.46.80.155
ads.jp.msn.com 207.46.80.172
ads.jp.msn.com 207.46.80.173
ads.jubii.dk 212.112.128.54
ads.jwtt3.com 207.252.5.101
ads.link4ads.com 167.216.237.108
ads.list-universe.com 207.250.20.253
ads.live365.com 216.35.106.3
ads.localnow.com 164.109.29.49
ads.looksmart.com 207.138.42.41
ads.luckysurf.com 208.178.31.150
ads.lycos.com 206.79.171.196
ads.lycos.com 209.202.192.30
ads.mediaamerica.com 204.176.104.10
ads.mircx.com 216.234.161.197
ads.mm.ap.org 165.1.76.60
ads.moneyclicks.com 209.0.70.253
ads.mortgagemag.com 209.250.68.206
ads.move.com 204.152.142.80
ads.movieflix.com 216.206.179.140
ads.mplayer.com 216.35.30.60
ads.msn.com 207.46.188.101
ads.msn.com 207.46.188.117
ads.msn.com 207.46.188.123
ads.msn.com 207.46.188.124
ads.msn.com 207.46.188.250
ads.msn.com 207.46.188.251
ads.msn.com 207.46.188.45
ads.msn.com 207.46.188.46
ads.msn.com 207.46.188.67
ads.msn.com 207.46.188.86
ads.musicmatch.com 216.200.65.225
ads.musicmatch.com 216.200.65.228
ads.mybannerswap.com 204.177.124.23
ads.mysimon.com 216.32.105.145
ads.netmechanic.com 208.51.75.186
ads.netpool.net 195.67.68.132
ads.newcitynet.com 192.245.12.246
ads.newdream.net 216.240.131.208
ads.newsday.com 216.33.107.138
ads.newsdigital.com 216.33.41.65
ads.newsint.co.uk 212.113.31.40
ads.nwsource.com 192.251.219.115
ads.nytimes.com 208.48.26.229
ads.onhealth.com 209.67.69.174
ads.pogo.com 208.50.165.151
ads.pornad.com 205.252.89.86
ads.programfiles.com 207.236.16.77
ads.realcities.com 209.97.59.254
ads.reed-elsevier.com 138.12.4.170
ads.rottentomatoes.com 208.184.131.41
ads.scifi.com 63.74.35.22
ads.scotland.net 194.247.65.139
ads.sexplanets.com 216.169.118.114
ads.sexspaces.com 207.246.134.26
ads.smartclicks.com 216.32.168.102
ads.spaceports.com 216.234.161.68
ads.springstreet.com 216.32.161.77
ads.sptimes.com 208.131.164.131
ads.standard.net 207.108.171.2
ads.starnews.com 209.186.199.20
ads.station.sony.com 209.0.216.92
ads.stockads.net 208.29.58.9
ads.swapit.com 64.14.92.103
ads.switchboard.com 209.67.227.21
ads.targetclick.com 63.84.9.9
ads.techrepublic.com 208.49.160.22
ads.tekgroup.com 208.178.171.175
ads.theolympian.com 209.97.59.39
ads.tmcs.net 209.104.35.230
ads.townnews.com 209.247.231.66
ads.track-star.com 209.132.97.171
ads.track-star.com 209.132.97.172
ads.track-star.com 209.132.99.165
ads.track-star.com 209.132.99.166
ads.track-star.com 209.132.99.167
ads.track-star.com 209.132.99.168
ads.traderonline.com 209.48.198.205
ads.travelnow.com 12.28.57.142
ads.tromaville.com 206.132.46.234
ads.truecash.com 207.240.12.145
ads.tsn.com 192.225.53.30
ads.tucows.com 207.136.66.62
ads.ugo.com 205.229.74.190
ads.ukadbureau.net 212.107.134.83
ads.univision.com 63.92.193.107
ads.vcommunities.com 209.67.119.170
ads.virtumundo.com 216.42.35.176
ads.weblogs.com 64.14.1.92
ads.winvite.com 204.71.62.154
ads.wunderground.com 216.34.4.77
ads.www.iol.ie 194.125.76.28
ads.x10.com 209.245.178.114
ads.xyrid.com 216.79.100.26
ads.yachtworld.com 63.215.203.60
ads.yumyum.com 207.251.178.74
ads.zdnet.com 205.181.112.114
ads1.activeagent.at 195.34.132.14
ads1.clbn.com 63.113.8.31
ads1.entertainmentcentral.com 216.126.197.199
ads1.erotism.com 216.6.3.61
ads1.intelliads.com 206.138.137.201
ads1.myfreedomain.com 205.236.189.118
ads1.tiscalinet.it 195.130.225.21
ads1.track-star.com 209.132.97.162
ads10.speedbit.com 216.167.25.145
ads2.advance.net 208.202.9.27
ads2.gamecity.net 216.162.102.101
ads2.hitthebeach.com 216.3.243.175
ads2.virtumundo.com 216.42.35.177
ads2.zdnet.com 205.181.112.81
ads212.focalink.com 194.129.74.21
ads3.advance.net 208.202.9.28
ads3.inet1.com 63.65.111.133
ads3.spiderware.com 209.207.253.5
ads3.virtumundo.com 216.42.35.178
ads4.advance.net 208.202.9.25
ads4.earthweb.com 209.10.73.148
ads4.virtumundo.com 216.42.35.179
ads5.advance.net 208.202.9.26
ads5.gamecity.net 216.162.102.100
adsdirect.vertical.net 209.185.177.138
adsdl.conducent.com 216.33.199.114
adserv.internetfuel.com 209.132.218.66
adserv.net 209.50.251.240
adserv1.bigwebtools.com 63.209.79.42
adserv1.realmedia.com 216.35.210.136
adserv2.bigwebtools.com 209.132.222.230
adserver.100free.com 205.134.182.230
adserver.3dportal.net 216.65.63.100
adserver.affiliation.com 216.35.123.108
adserver.buttonware.net 216.231.108.144
adserver.buttonware.net 216.231.108.208
adserver.buttonware.net 216.231.108.241
adserver.cinemabilia.de 212.34.100.9
adserver.colleges.com 63.210.172.9
adserver.creative.com 216.61.164.225
adserver.devx.com 209.1.14.159
adserver.dnps.com 216.33.107.218
adserver.faulknergray.com 198.80.189.107
adserver.findlaw.com 207.138.39.139
adserver.freerealtime.com 216.34.255.172
adserver.getspace.com 63.66.136.48
adserver.go2mac.com 206.236.54.62
adserver.infobeat.com 192.147.174.125
adserver.infobeat.com 192.147.174.126
adserver.infobeat.com 192.147.174.127
adserver.isppartners.com 207.127.98.244
adserver.lab.co.kr 203.248.138.140
adserver.matchcraft.com 64.14.202.230
adserver.mindshare.de 212.19.46.98
adserver.monster.com 208.160.10.151
adserver.monster.com 208.160.10.152
adserver.postnet.com 209.96.51.151
adserver.sentinelinteractive.com 205.180.62.252
adserver.sextracker.com 207.246.136.178
adserver.shrm.org 208.243.115.243
adserver.stlnet.com 209.96.79.154
adserver.telebuild.com 198.67.14.14
adserver.thisislondon.co.uk 212.111.44.227
adserver.vertical.net 209.185.177.133
adserver.worldweb.net 205.245.149.23
adserver.yahoo.com 204.71.200.45
adserver.yahoo.com 204.71.201.2
adserver.yahoo.com 216.115.107.86
adserver.yahoo.com 216.115.107.87
adserver.yahoo.com 216.115.107.88
adserver1.backbeatmedia.com 216.167.90.180
adserver1.economist.com 164.109.58.145
adserver1.realtracker.com 212.72.51.187
adserver2.100free.com 205.134.183.214
adserver2.go2mac.com 216.52.67.168
adserver2.newschoice.com 63.147.65.247
adserver2.newschoice.com 63.147.65.248
adserver2.realtracker.com 212.123.141.13
adservice.everyone.net 216.200.145.56
adsh.net 209.78.28.157
adsite.washpost.com 151.200.109.196
adsl-63-196-144-111.dsl.lsan03.pacbell.net 63.196.144.111
adsl-63-197-195-50.dsl.sndg02.pacbell.net 63.197.195.50
adsman.newagecities.com 216.242.19.232
adsrv.ilife.com 208.16.210.40
adsrvr.uskonet.com 196.3.170.31
adstream.tmlnewmedia.co.za 196.4.90.32
adsvr.sexblocks.com 207.91.110.11
adtegrity.spinbox.net 204.176.36.72
adtrack.cimedia.net 204.71.180.48
adtrack.honesty.com 64.57.16.74
adtracking.net-on.net 195.67.71.80
adult-orbit.com 207.246.159.76
adult-porn-site.com 198.172.12.173
adult-toy-shop.com 209.123.13.7
adult.bomis.com 209.66.79.108
adult.einets.com 205.242.216.170
adult.erosvillage.com 207.246.159.16
adult.explode2000.com 207.174.206.198
adult.fast-webhosting.com 64.65.32.41
adult.iwantu.com 216.32.208.113
adult.lycoschat.com 209.67.228.75
adult.netcitizen.com 216.167.74.157
adult.netpond.com 216.200.150.128
adult.pornoseries.com 64.39.28.153
adult.sexblocks.com 207.91.107.4
adult.sexhound.net 209.67.119.183
adult.tgpfreehost.com 216.65.38.227
adult.westmaster.com 195.39.16.44
adult1.100free.com 205.134.183.151
adult10.100free.com 205.134.183.179
adult11.100free.com 63.210.28.211
adult12.100free.com 63.210.28.217
adult13.100free.com 63.210.28.218
adult14.100free.com 63.210.28.219
adult2.100free.com 63.210.28.213
adult3.100free.com 63.210.28.215
